room_number,room_name,description,type,equipment
101,Architectural Technology Lab,Laboratory for architectural technology studies and projects,class_room,"desks:20,chairs:40,whiteboard:2,projector:1"
102,Software Development Lab A,Lab for software development projects and coding practice,computer_class,"desks:25,chairs:30,desktop_computers:25,projector:2,whiteboard:2"
103,Software Development Lab B,Additional lab space for software engineering experiments,computer_class,"desks:30,chairs:35,desktop_computers:30,projector:1,whiteboard:1"
104,Computing & Games Studio A,Studio space for game development and programming,computer_class,"desks:25,chairs:30,desktop_computers:25,projector:1,whiteboard:2"
105,Computing & Games Studio B,Additional studio for computing and game design projects,computer_class,"workstations:25,gaming_peripherals:20,soundproofing_materials:100,chairs:15"
106,Law Classroom,Classroom for law studies legal systems and justice studies,class_room,"desks:13,chairs:50,whiteboard:1,projector:1"
107,Hairdressing Salon,Salon space for hairdressing training and services,salon,"hairdressing_chairs:10,mirrors:15,hair_styling_tools_set:1,washbasins:5,salon_chairs:15"
108,Tourism Classroom,Classroom for tourism studies and hospitality management,class_room,"desks:20,chairs:40,whiteboard:3,projector:1,computers:20"
109,Sports Training Facility,Facility for sports training and athletic development,gymnasium,"exercise_mats:50,fitness_equipment:30,sports_gear_set:1,gymnastic_bars:10"
110,Culinary & Hospitality Kitchen,Professional kitchen for culinary arts and hospitality training,kitchen,"cooking_stations:10,ovens:5,refrigerators:8,kitchen_utensils_full_set:1,dining_tables:15"
111,Midwifery & Nursing Lab,Laboratory for midwifery and nursing training,laboratory,"medical_manikins:10,examination_tables:5,medical_equipment_full_set:1,simulation_devices:5,charts:20"
112,Emergency Services Training Room,Training room for emergency services studies,training_room,"first_aid_kits:5,training_dummies:10,emergency_response_equipment_full_set:1,projector:1,whiteboard:2"
113,Dental Clinic,Clinic space for dental studies and practice,clinic,"dental_chairs:5,sterilization_equipment_set:1,dental_instruments_full_set:1,x-ray_machines:2,dental_models:10"
114,Software Development Workshop,Workshop area for collaborative software development projects,computer_class,"workbenches:15,power_tools_set:1,prototyping_materials:assorted,testing_devices:10,projector:1"
115,Computing & Games Lab,Lab equipped for computing experiments and game creation,computer_class,"desktop_computers:20,servers:5,networking_equipment_set:1,testing_devices:10,chairs:25"
116,Law Library,Library space for legal research and studies,library,"bookshelves:50,tables:15,computers:15,legal_texts:assorted,reference_materials:assorted"
117,Law Seminar Room,Room for law seminars discussions and case studies,class_room,"desks:30,chairs:60,whiteboard:4,projector:1,seminar_materials:assorted"
118,Law Lecture Hall,Large hall for law lectures debates and guest speakers,hall,"seating_rows:150,podium:1,projector:3,sound_system:1,lecture_materials:assorted"
119,Main Hall,Spacious hall for large events ceremonies and gatherings,hall,"stage:1,sound_system:1,lighting_equipment_ser:1,podium:1"
120,Assembly Hall,Auditorium for student assemblies lectures and performances,hall,"seating_rows:200,stage:1,lighting_equipment_set:1,sound_system:1,podium:1"
121,Sports Hall A,Indoor sports facility for various athletic activities,hall,"sports_equipment:assorted,bleachers_sets:2,scoreboard:1,storage_units:5"
122,Sports Hall B,Additional hall space for fitness classes and recreational sports,hall,"exercise_mats:50,fitness_equipment:30,storage_units:5,mirrors:10,sound_system:1"
123,Gymnasium A,Training facility equipped for basketball and volleyball,gymnasium,"basketball_hoops:2,volleyball_nets:2,bleachers_set:1,scoreboard:1,locker_rooms:3"
124,Gymnasium B,Additional gym space for fitness training and team sports,gymnasium,"weightlifting_equipment_set:1,cardio_machines:assorted,mats:20,water_dispensers:2,exercise_balls:15"
